Id_New;IdentFMU;Nom courant;SdUAI;MoyUnite;MoyETPT;RecDroitsbib;RecTutelle;RecCollTerr;RecAutMin;RecRessProp;RecAut;DepSalTit;DepSalNonTit;DepSalAut;DepDepDoc;DepMaintenance;DepAut;DepInv;DepNCA;AcqSuppLiv;AcqSuppPer;AcqSuppAut;AchatNumLiv;AchatNumPer;AchaNumtAut;AbonNumLiv;AbonNumPer;AbonNumAut;DepDPartForm;DepDPartRec;DepDConserv;DepDNumeris;AONoticeStock;AOTexteStock;AONoticeFlux;AOTexteFlux;AOVisites;AOTelecharg;SuppTitLiv;SuppTitPer;SuppTitAut;UnitMatLiv;UnitMatAut;SuppMlLiv;SuppMlPer;SuppMlAut;MLAccesLiv;MLAccesPer;MLAccesAut;PatTitLiv;PatTitPer;PatTitAut;PatUnitMatLiv;PatUnitMatAut;PatMLLiv;PatMLPer;PatMLAut;Sudoc;SudocPart;ColNNumerise;ColNTheseNum;ColNPedago;ColNAccLibre;ColNNumeriseGo;ColNTheseNumGo;ColNPedagoGo;ColNAccLibreGo;ColNAcqRess;ColNAcqTitLiv;ColNAcqTitPer;ColNAcqRessGo;ColNAcqTitLivGo;ColNAcqTitPerGo;EntTitLivFr;EntTitlivEt;EntTitPer;EntTitAut;EntVolLivFr;EntVolLivEt;EntVolAut;DonTitLivFr;DonTitLivEt;DonTitPer;DonTitAut;DonVolLivFr;DonVolLivEt;DonVolAut;SorTitLivTot;SorTitPer;SorTitAut;SorVolLiv;SorVolAut;EntNumerise;EntTheseNum;EntPedago;EntNumeriseGo;EntTheseNumGo;EntPedagoGo;EntNumAcq;EntNumAcqGo;NbNumSouscrite;NumSignalePer;NumSignaleLiv;NbEntrees;NbExpos;NbAutManif;EmprL;EmprM;EmprD;EmprEC;EmpAut;EmprExt;InscritL;InscritM;InscrritD;InscritEC;InscritAut;InscritExt;OrgInscritD;OrgInscritC;OrgInscritIR;OrgInscritAut;OrgInscritExtC;OrgInscritExtAut;UsSessions;UsRec;UsVuesEbook;UsVuesArticles;UsVuesAut;UsVueNumerise;UsVuePedago;UsVuesTheseNum;UsVuesArticleEtb;UsVisites;UsRecCat;UsQuestions;FormOutcursH;FormOutcursL;FormOutcursM;FormOutcursD;FormOutcursAut;FormIncursH;FormIncursL;FormIncursM;FormIncursD;PebDExp;PebDSat;PebFRecues;PebFSat;PersPP_BibA;PersPP_BibB;PersPP_BibC;PersPP_BibBC;PersPP_ITRFA;PersPP_ITRFB;PersPP_ITRFC;PersPP_ITRFBC;PersPP_AutA;PersPP_AutB;PersPP_AutC;PersPP_AutBC;PersPP_CDDA;PersPP_CDDB;PersPP_CDDC;PersPP_CDDBC;PersPP_CDIA;PersPP_CDIB;PersPP_CDIC;PersPP_CDIBC;PersPP_Etud;PersETPT_Etud;PersFormH;Activite1;Activite2;Activite3;Activite4;Activite5;Activite6;Activite7;Activite8;Activite9;Activite10;Activite11;Activite12;Activite13;Activite14;Activite15;Activite16;ActiviteAut
125;302;SCD de l'Université de Rennes 1;0352288X;HTR;69,84;770611;838652,16;;;29722,05;334120,66;3599444,9;275447,16;;1469892,67;;294797;31588;;295504;109591;8473;9552,88;;950;71279,87;628850,05;342595,87;41,44;58,56;3096;;54448;20693;4563;3105;16677;2534833;310784;8755;153856;443246;264768;14533;13985;2013;4805;1500;22;31545;977;683;44447;683;3729;567;100;;98,1;150;2624;290;93,94;496;33;3;6,49;;12622;;;;;5478;138;334;175;10099;146;175;341;16;41;6;342;16;6;7897;42;;10581;;;589;6;;5;;;;105;74347;106669;1281383;19;36;2552;2249;382;;676;688;4572;4590;2000;;1487;2287;;;;;;;291981;957531;421891;1254160;1151487;;;;;1501868;295956;1502;69;186;290;77;19;770;4242;3016;1271;1371;1271;1677;1489;14;15;17;;5;1;2;;1;1;7;;1;2;3;;;;2;;49;2,34;1623;15,18;1,51;4,38;17,65;4,12;1,56;0,1;2,53;1,87;0,55;0,05;;;5,98;11,28;1,48;1,07
126;303;SCD de l'Université de Rennes 2;0352303N;TTC;73,95;443802;762945;0;0;7811;1900;3661134;611407;0;877427;0;297394;150447;0;268927;123348;42196;16812;88;0;20580;370960;9241;44;56;25275;0;20453;6526;4170;1220;5806;83;494566;4361;29634;678414;57207;16960;3970;1589;9787;1992;1531;36100;113;269;49342;327;2322;925;8;;95;316;878;0;90;;;;0;10;1630;3503;;;;9017;1355;713;1040;10534;1415;1042;927;930;43;24;940;944;25;9100;73;601;12064;682;0;124;0;;7;;166;;67;54787;66700;911695;12;36;5929;4293;339;;1243;1183;;;;;;;;;;;;;;;98431;301287;1244;12596;0;;;282945;1031752;909;60,5;20;104;;51;1133,5;53949;1158;109;2262;2005;1964;1825;16;12;18;;3;5;6;;2;0;4;;0;5;5;;0;1;2;;37;4,48;1563;18,39;2,4;1,58;23,68;1,91;0,41;0,05;2,15;1,45;0,78;0,37;0,01;0,05;5,75;7,98;2,35;4,64
127;304;SCD de l'Institut national des sciences appliquées de Rennes;;TTC;5,95;;148645;;;79,2;;256948,65;28359,91;3679,03;105361,11;;38223,64;;;11313,71;2472,7;3568,62;2,62;;;3620,4;84383,06;;39;61;;;;;;;;;18771;;294;22217;;468;135;22;264;4;9;;;;;;;;;;;;1618;;0;;;;0;;296;;;;;;;37;;533;33;;;;;;;;;;5;;2818;;;22;;;;;;;14;;;;1;19;191;132;28;;85;71;;;;;;;;;;;;;;;;53779;;;;;;9675;5582;;;;;;;92;750;80;18;;23;20;15;;;;1;;2;;;;;;2;;1;;;;;;;4;;297;1;0,5;0,7;1;0,3;0,3;;0,1;0,6;0,2;0,1;;;0,4;0,4;0,2;
128;306;SCD de l'Université de Rouen Normandie;0761652H;;79,14;;1510000;;;38247;272020;3523645,65;465919,3;;1378354,02;;370073,96;212493;;356734,02;170112;8404;9516;;;71112;585218;177258;40;60;;;9820;5273;3920;1418;2270594;1368543;407109;4493;52996;572143;59872;18020;5960;1120;8510;738;198;17731;129;;12269;;594;;;;95;;2232;;95;;;;0;;1188;2266;;;;8942;67;575;191;11520;72;191;731;45;22;398;756;45;398;9267;28;304;12984;310;;2232;;;;;23;;47;16621;50947;819743;43;5;7561;4392;566;657;196;656;7561;4392;566;657;196;656;;;;;;;105566;506438;290650;503955;245242;;;995949;1368548;93166;455306;;211;256;113;93;63;103;149;251;;1486;1436;1037;1015;13;18;23;;;;;;4;1;5;;1;3;8;;;;2;;31;7,64;1156;23,25;9,2;6,15;18,17;1,5;1,7;;0,75;1;1,1;1,7;;;5;5;1,2;3,42
129;307;SCD de l'Institut national des sciences appliquées de Rouen;;TTC;6,5;;275132;;;;;323768;11413;;234580;;;10000;3323;16300;15375;955;4090;;;;197155;;25;75;705;;4250;1451;1258;265;644067;295461;16606;441;1622;19924;1622;540;750;25;376;37;10;4820;20;;4820;;154;50;;;90;404;;;80;;;;0;;230;;;;;510;50;;;595;50;;;;;;;;;;;;;;;25;;;;;;;21;35000;230;100820;;2;320;280;12;47;57;2;;;;;;;;;;;;;;;1003;177525;;;;;;26000;23874;;6;60;18;;;30;292;;;35;35;11;11;1;2;1;;1;;1;;;;;;;;1;;;;;;;;126;2;0,25;0,5;0,75;0,5;0,25;0,25;0,5;0,5;;0,25;;0,25;0,25;0,25;;
130;309;Bibliothèque Sainte-Geneviève;0752706J;TTC;107,58;487404,27;2451980;0;69419,77;38832,71;19971,25;4513397,1;672458,68;99981,72;1269139,59;620659,61;326316,4;146222,28;75800,39;605563,91;288235,12;31552,46;10153,11;3578,56;16097,82;9809,02;49356,79;52881,77;62,16;37,84;151861,32;50049,71;0;0;0;0;0;0;1628542;20805;15355;;;35700;12289;867;948;21;0;193194;1022;6853;;;5353;838;253;;98,1;5696;0;0;100;8191;0;0;100;40;112;154;;;;10522;4809;2139;124;;;;123;491;104;82;;;;3588;106;0;3588;0;1119;0;0;900;0;0;0;0;23;82314;287996;322461;14;15;2580;2376;1098;893;2132;;18333;8695;2633;2195;13276;;;;;;;;87055;45520;19233;130149;3682;329913;0;0;0;88449;477471;172;24,5;25;35;0;1;0;;;;94;89;1507;1088;24;12;37;0;1;0;0;0;3;1;6;0;5;9;11;0;0;1;0;0;22;5,57;1142,4;10,73;34,74;0,56;30,86;3,03;0;0;1;1,54;1,19;0,05;0;0;9,86;13,06;0,96;0
131;310;Bibliothèque interuniversitaire Sainte-Barbe;0755041X;TTC;56,1;86166;1512644;0;0;64688;483073;1588685;682316;51243;516785;335141;653604;175129;0;289611;42797;0;7210;;;27127;8932;72733;100;;68375;0;0;0;0;0;0;0;113219;307;0;146539;0;4310;153;0;4310;153;0;0;0;0;0;0;0;0;0;;100;0;0;0;0;0;0;0;0;0;37440;0;0;0;0;7837;359;305;0;11962;375;0;7;0;2;0;7;0;0;10649;4;0;13262;0;0;0;41;0;0;0;0;0;87;14304;14032;739964;1;5;4790;4019;0;24;121;0;20249;13285;0;173;409;0;;;;;;;;10350;1092;4522;;0;880;0;0;157731;293828;0;124;160;139;4;1;0;0;0;0;0;0;0;0;9;14;2;0;0;0;0;0;2;0;0;0;5;9;4;0;0;2;0;0;25;11;2320;23,46;0;0,93;15,38;0,9;0;0;1,52;0,2;0;0;0;0;5,67;6,17;1,87;0
132;311;SCD de l'Université Jean Monnet;0421523C;TTC;57,38;332216;655000;30500;300;4830;30677;2979126;286267;;602051;22303;23360;120000;;202921;74606,94;16245;;;;27741,38;133484,68;137254;63;37;9798;0;30093;7895;4967;1338;;231939;265590;1888;257720;304298;262092;5976;2037;479;3852;240;225;1287;15;350;1635;350;64;18;18;;81,38;;483;;25;;;;0;;;;;;;6592;364;466;189;8371;378;189;171;84;41;20;185;85;20;12027;22;359;15862;383;;108;;;;;;;35;23307;38589;1019314;26;37;4400;1737;176;277;328;762;;;;;;;;;;;;;;133610;;187375;;;;;;41461;191646;;33;277;124;;24;624;3481;432;41;942;862;506;460;11;14;17;;3;1;1;;1;2;2;;0;1;3;;0;2;1;;55;7,14;1188;19,61;1,94;1,48;16,61;0,9;0;0;3,48;2,04;0,12;0,12;0;0;8,77;3,74;2,56;0,77
133;314;Bibliothèque interuniversitaire Sorbonne;0752705H;TTC;104,31;603006;2662511;;;733392;;6710883;904440;;2253653;;967941;106744;136919;876544,98;570519;83264;87199;47500;53012;15262;181215;78895,02;;100;260242;0;;;;;;;1064642;18211;107647;;;29731;8568;2931;1186;99;0;102995;290;75404;;;;;;;79,41;3105;;;0;2824;;;0;53;65691;11306;;;;6387;10354;3079;1531;6865;10560;1587;843;251;175;;886;280;;29;;;41;;307;;;290;;;;;128;44087;89687;230514;8;67;;;;;;;5740;10317;3081;3224;249;267;;;;;;;82288;1328616;188896;688728;45213;4301;;;;;;;34;13;15;61;1;128;0;1244;23;712;653;4124;3695;32;32;39;;;;;;1;5;14;;6;7;12;;;1;1;;20;4;2104;31;3,8;1,2;37,21;3;;;2,5;0,2;5;0,1;;;12;7,5;0,8;
134;315;SCD de l'Université de Strasbourg;0673029D;HTR;156;1143374,62;2184861,62;;;37769,68;496731,23;7086972;862307;66849,27;3070552;89482,86;168116,91;112276,96;422308,7;493403,43;392307,62;11850,99;75861,87;;;62628,24;1460808,67;561954,45;33;67;11736,73;;23779;3091;2860;1557;;;922330;18810;264293;1075183;293606;28234;16224;3257;13937;3083;218;138724;706;99171;163645;107240;4349;;1625;;83;21637;7152;;0;2890;89;;0;39;14626;3122;;;;12496;1703;1676;274;15729;1770;274;6018;;381;464;6224;;464;32513;182;;42212;;13277;888;;247;9;;44;;98;64712;82762;1819513;54;49;7173;8367;1242;981;428;513;;;;;;;;;;;;;618913;1671615;2358328;1562885;446591;78174;;284485;;998027;1376091;1038;304;301;361;246;97;1308;7718;3410;82;1649;1509;3110;2709;29;29;41;;8;7;13;;2;2;3;;2;1;19;;2;1;1;;79;9;2323;45,23;10,8;11,22;44,89;9,25;1,11;0,01;2;2,61;0,73;1,45;0,05;0,62;20,6;10,65;3,72;0,22
