"Niveau 1
(Formulaire)";"Niveau 2
(Groupe)";"Niveau 3
(sous-groupe)";"Niveau 4
(sous-sous-groupe)";Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne de saisie MESRI existante;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;Evolution Min (alerte NBL);Evolution Max (alerte NBL);Granularité;Remarque
;;;;DepDepDoc;Budg11;;Dépenses documentaires;Documentary spending;Dépenses documentaires;Documentary expenditure;Dépenses documentaires - Dépenses affectées à l’acquisition de ressources documentaires (sur support physique ou immatériel, pour des acquisitions définitives, des abonnements ou des droits d’accès temporaires), à la conservation (frais de reliure, dépoussiérage, conservation préventive…) et à la numérisation réalisée en faisant appel à un prestataire. Inclut le montant payé à l'ABES sur le budget de l’établissement dans le cadre de la licence nationale « Elsevier ». Exclut les dépenses liées au PEB, ainsi que les dépenses d’abonnement pour des bases à usage exclusivement professionnel (à intégrer à DepAut).;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;DepMaintenance;Budg12;;Maintenance et fluides;Maintenance and utilities;Maintenance et fluides;Maintenance and utilities;Maintenance et fluides : Dépenses relevant du fonctionnement et maintenance du réseau informatique, des télécommunications, de la maintenance et de l’entretien des bâtiments (y compris alimentation électrique et chauffage). (d’après ISO 2789 2.6.3). Si aucune dépense de ce type n’est gérée par le service, indiquer 0.;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;DepAut;Budg13;;Autres dépenses de fonctionnement;Other operating costs;Autres dépenses de fonctionnement;Other operating costs;;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;DepInv;Budg14;;Dépenses d'investissement;Investment expenses;Dépenses d'investissement;Investment expenses;Dépenses d’investissement : dépenses résultant de l’acquisition ou de l’augmentation d’immobilisations. Cela comprend les dépenses concernant les bâtiments (constructions nouvelles ou extensions), le mobilier et les équipements pour les constructions nouvelles, les systèmes informatiques (logiciels et matériels). (ISO 2789 2.6.1);N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;DepNCA;Budg15;;Dépenses NCA ou NV;Other non allocatable Expenses;Dépenses non comptées ailleurs ou non ventilées;Expenditure not allocated or counted elsewhere;Dépenses non comptées ailleurs ou non ventilées : en cas de groupement de commande, l’établissement porteur fait figurer le montant, part personnelle déduite, dans DepNCA (en précisant la commande dans les commentaires), et les remboursements des établissements participants dans « Autres recettes » (RecAut). Chaque établissement intègre sa part dans le calcul des dépenses documentaires (DepDepDoc).;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;DepAutTot;nouveau;;Total autres dépenses;Other expenses - Total;Total des autres dépenses;Other expenses - Total;SO;;Calculée;DepDepDoc + DepMaintenance + DepAut + DepInv + DepNCA;Non;N;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;DepTot;nouveau;;Total dépenses SD;Total LS spending;Total des dépenses du service documentaire;Expenditure of Library service - Total;SO;;Calculée;DepSalTit + DepSalNonTit + DepSalAut + DepDepDoc + DepMaintenance + DepAut + DepInv + DepNCA;Non;N;;;;;;;;dec2;€;année civile;;;;;;;SD;
Depenses Documentaires;;;;;;;;Library expenditure;;;Oui;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Dépenses d'acquisition;;;;;;;Acquisition expenditure;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;Acquisition de documentation sur support matériel;;;;;;Acquisition of physical material;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;AcqSuppLiv;DepD1;;Achat livres imprimés;Acquisition of printed books;Acquisition de livres imprimés;Acquisition of printed books;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-40%;40%;SD;
;;;;AcqSuppPer;DepD2;;Périodiques imprimés;Printed periodicals;Périodiques imprimés;Printed periodicals;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-40%;40%;SD;
;;;;AcqSuppAut;DepD3;;Autres documents sur support matériel;Other documentary materials;Autres documents sur support matériel;Other documentary material;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-40%;40%;SD;
;;;;AcqSuppTot;nouveau;;s/total dép doc support matériel;s/total dept. doc materials;;;SO;;Calculée;AcqSuppLiv + AcqSuppPer + AcqSuppAut;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;Acquisition de documentation numérique;;;;;;Acquisition of digital material;;;Oui;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Achats définitifs;;;;;Permanent purchases;;;Oui groupée;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;AchatNumTotOld;DepD4;;Total - achats définitifs;Total - perm purchases;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;dec2;€;année civile;0;;;;;;SD;Variable active en 2013, 2014 et 2015 - indiquée pour reprise de l'historique - difficulté à prévoir
;;;;AchatNumLiv;DepD6;;livres électroniques;e-books;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;AchatNumPer;DepD8;;périodiques électroniques - achats définitifs;e-journals - perm purchase;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;AchaNumtAut;DepD14;;autres - achats définitifs;Other perm purchases;;;Non;N;Saisie;;libre;N;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;AchatNumTot;nouveau;;s/s/total achats définitifs;s/s/total perm purchases;;;SO;;Calculée;AchatNumLiv + AchatNumPer + AchaNumtAut;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;Abonnements;;;;;Subscriptions;;;Oui groupée;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;AbonNumTotOld;DepD5;;Total - achats abonnements;Total - subscription purchases;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;dec2;€;année civile;0;;;;;;SD;Variable active en 2013, 2014 et 2015 - indiquée pour reprise de l'historique - difficulté à prévoir
;;;;AbonNumLiv;DepD7;;livres électroniques - abonnements;e-books - subscriptions;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;AbonNumPer;DepD9;;périodiques électroniques - abonnements;e-journals - subscriptions;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;AbonNumAut;DepD15;;autres - abonnements;other subscriptions;;;Non;N;Saisie;;libre;N;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;AbonNumTot;nouveau;;s/s/total achats abonnements;s/s/total subscription purchases ;;;SO;;Calculée;AbonNumLiv + AbonNumPer + AbonNumAut;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;AcqNumLivTot;nouveau;;s/s/total livres électroniques;s/s/total e-books;;;SO;;Calculée;AchatNumLiv + AbonNumLiv;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;AcqNumPerTot;nouveau;;s/s/total périodiques électroniques;s/s/total e-journals;;;SO;;Calculée;AchatNumPer + AbonNumPer;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;AcqNumAutTot;nouveau;;s/s/total acquisition autre doc numérique;s/s/total other e-docs ;;;SO;;Calculée;AchaNumtAut + AbonNumAut;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;AcqNumTot;nouveau;;s/total dép doc numérique;s/total expenditure e-docs;;;SO;;Calculée;AchatNumLiv + AchatNumPer + AchaNumtAut + AbonNumLiv + AbonNumPer + AbonNumAut;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;Répartition des dépenses d'acquisition;;;;;;Break-down of acquisition expenditure;;;Oui groupée;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;DepDPartForm;DepD10;;Part des dépenses d'acquisition consacrées à la formation (%);Portion spending on acquisitions used for teaching (%);;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;%;année civile;0;100;Bl;;;5 points;SD;
;;;;DepDPartRec;DepD11;;Part des dépenses d'acquisition consacrées à la recherche (%);Portion spending on acquisitions used for research (%);;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;%;année civile;0;100;Bl;;;5 points;SD;
;;;;DepDFormRec;nouveau;;Total   (doit être égal à 100 %);Total of the part of spending for teaching and research (=100%);Total des parts des dépenses consacrées à la formation et à la recherche;Total of the part of spending allocated to teaching and research;;;Calculée;DepDPartForm + DepDPartRec;Non;;;;;;;;;dec2;%;année civile;;;;;;;SD;
;Autres dépenses documentaires;;;;;;;Other library expenditure;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;DepDConserv;DepD12;;Dépenses de conservation;Spending on preservation;;;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-50%;50%;SD;
;;;;DepDNumeris;DepD13;;Dépenses de numérisation;Spending on digitization;;;Oui;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-50%;50%;SD;
;;;;DepDAutTot;nouveau;;s/total autres dépenses documentaires;s/total other doc. spending  ;;;SO;;Calculée;DepDConserv + DepDNumeris;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;;;DepDTot;nouveau;;Total dépenses documentaires;Total doc. spending  ;;;SO;;Calculée;AcqSuppLiv + AcqSuppPer + AcqSuppAut + AchatNumLiv + AchatNumPer + AchaNumtAut + AbonNumLiv + AbonNumPer + AbonNumAut + DepDConserv + DepDNumeris;Non;;;;;;;;;dec2;€;année civile;;;;;;;SD;
Archives ouvertes ou institutionnelles;;;;;;;;Institutional/Open archives;;;Non;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Stocks;;;;;;;Stocks;;;Oui groupée;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;AONoticeStock;AO1;;Nombre d'unités documentaires référencées dans le système de collecte sous forme de notices uniquement;Number doc. units referenced in collecting system as records only;;;Oui groupée;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;U doc;31-12;0;1 000 000;N-Bl;;0%;20%;SD;
;;;;AOTexteStock;AO2;;Nombre d'unités documentaires référencées dans le système de collecte et déposées en texte intégral;Number doc. units referenced in collecting system and deposited as full text ;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;U doc;31-12;0;1 000 000;N-Bl;;0%;20%;SD;
;Flux;;;;;;;Flows;;;Oui groupée;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;AONoticeFlux;AO3;;Accroissement annuel des unités documentaires référencées dans le système de collecte  sous forme de notices uniquement;Annual growth doc. units referenced in collecting system as records only ;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;U doc;année civile;0;1 000 000;N-Bl;;0%;20%;SD;
;;;;AOTexteFlux;AO4;;Accroissement annuel des unités documentaires référencées dans le système de collecte et déposées en texte intégral;Annual growth doc. units referenced in collecting system and deposited as full text;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;U doc;année civile;0;1 000 000;N-Bl;;0%;20%;SD;
;Usages;;;;;;;Usage;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;AOVisites;AO5;;Nombre de visites sur le portail d'accès des archives ouvertes;Number of visits to open archive access portals;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;visites;année civile;0;50 000 000;N-Bl;;-40%;40%;SD;
;;;;AOTelecharg;AO6;;Nombre de téléchargements sur le portail d'accès des archives ouvertes;Number of downloads from open archive access portals;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;téléchargements;année civile;0;50 000 000;N-Bl;;-40%;40%;SD;
Collections sur support matériel (Stocks);;;;;;;;Physical collections (in store);;;Oui;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Documentation sur support;;;;;;;Printed material;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Titres;;;;;Titles;;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;SuppTitLiv;CollS1;;Livres imprimés;Printed books;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;3 000 000;N-Bl;;-5%;5%;SD;
;;;;SuppTitPer;CollS5;;Périodiques imprimés;Printed periodicals;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;300 000;N-Bl;;-5%;5%;SD;
;;;;SuppTitAut;CollS8;;Autres documents sur support matériel;Other printed material;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;10 000 000;N-Bl;;-5%;5%;SD;
;;;;SuppTitTot;nouveau;;s/total titres;s/total titles;;;SO;;Calculée;SuppTitLiv + SuppTitPer + SuppTitAut;Non;;;;;;;;;entier;Titres;;;;;;;;SD;
;;;Unités matérielles;;;;;Material units (MUs);;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;UnitMatLiv;CollS2;;Livres imprimés;Printed books;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;31-12;0;3 000 000;N-Bl;;-5%;5%;SD;
;;;;UnitMatAut;CollS9;;Autres documents sur support matériel;Other printed material;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;31-12;0;10 000 000;N-Bl;;-5%;5%;SD;
;;;;UnitMatTot;nouveau;;s/total unités matérielles;s/total material units;;;SO;;Calculée;UnitMatLiv + UnitMatAut;Non;;;;;;;;;entier;Unités Mat;;;;;;;;SD;
;;;Mètres linéaires;;;;;Linear metres (LM);;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;SuppMlLiv;CollS3;;Livres imprimés;Printed books;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;100 000;N-Bl;;-5%;5%;SD;
;;;;SuppMlPer;CollS6;;Périodiques imprimés;Printed periodicals;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;100 000;N-Bl;;-5%;5%;SD;
;;;;SuppMlAut;CollS10;;Autres documents sur support matériel;Other printed material;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;50 000;N-Bl;;-5%;5%;SD;
;;;;SuppMLTot;nouveau;;s/total mètres linéaires;s/total linear metres;;;SO;;Calculée;SuppMlLiv + SuppMlPer + SuppMlAut;Non;;;;;;;;;entier;ML;;;;;;;;SD;
;;;dont ML en libre accès;;;;;Open access in LM;;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;MLAccesLiv;CollS4;;Livres imprimés;Printed books;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;100 000;N-Bl;;-5%;5%;SD;
;;;;MLAccesPer;CollS7;;Périodiques imprimés;Printed periodicals;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;100 000;N-Bl;;-5%;5%;SD;
;;;;MLAccesAut;CollS11;;Autres documents sur support matériel;Other printed material;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;50 000;N-Bl;;-5%;5%;SD;
;;;;MLAccesTot;nouveau;;s/total mètres linéaires en libre accès;s/total linear metres as open access;;;SO;;Calculée;MLAccesLiv + MLAccesPer + MLAccesAut;Non;;;;;;;;;entier;ML;;;;;;;;SD;
;dont documents patrimoniaux sur support;;;;;;;SUDOC-indexed portion of collections;;;Oui groupée;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Titres;;;;;Tick here if you are not a member of SUDOC network;;;oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;PatTitLiv;CollS14;;Livres;Printed material collection proportion indexed in SUDOC ;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;2 000 000;N-Bl;;-5%;5%;SD;
;;;;PatTitPer;CollS17;;Périodiques;Heritage material by medium;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;100 000;N-Bl;;-5%;5%;SD;
;;;;PatTitAut;CollS19;;Autres;Titles;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;5 000 000;N-Bl;;-5%;5%;SD;
;;;;PatTitTot;nouveau;;s/total titres;Books;;;SO;;Calculée;PatTitLiv + PatTitPer + PatTitAut;Non;;;;;;;;;entier;Titres;;;;;;;;SD;
;;;Unités matérielles;;;;;Periodicals;;;oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;PatUnitMatLiv;CollS15;;Livres;Others;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;31-12;0;2 000 000;N-Bl;;-5%;5%;SD;
;;;;PatUnitMatAut;CollS20;;Autres;s/total titles;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;31-12;0;2 000 000;N-Bl;;-5%;5%;SD;
;;;;PatUnitMatTot;nouveau;;s/total unités matérielles;Material units (MUs);;;SO;;Calculée;PatUnitMatLiv + PatUnitMatAut;libre;;;;;;;;;entier;Unités Mat;31-12;;;;;;;SD;
;;;Mètres linéaires;;;;;Books;;;oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;PatMLLiv;CollS16;;Livres;Others;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;50 000;N-Bl;;-5%;5%;SD;
;;;;PatMLPer;CollS18;;Périodiques;s/total material units ;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;50 000;N-Bl;;-5%;5%;SD;
;;;;PatMLAut;CollS21;;Autres;Linear metres;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;10 000;N-Bl;;-5%;5%;SD;
;;;;PatMLTot;nouveau;;s/total ML;Books;;;SO;;Calculée;PatMLLiv + PatMLPer + PatMLAut;Non;;;;;;;;;entier;ML;31-12;;;;;;;SD;
;Part des collections signalées dans le Sudoc;;;;;;;Periodicals;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;Sudoc;CollS12;;Si vous n'êtes pas membre du réseau SUDOC, cochez cette case;Other;;;Oui groupée;N;Saisie;;case à cocher;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;boolean;;;;;;;;;SD;
;;;;SudocPart;CollS13;;Part des collections sur support matériel signalées dans le SUDOC;Linear metre s/total ;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;%;31-12;0;100;N-Bl;;-10%;10%;SD;
Collections numériques (Stocks);;;;;;;;Digital collections (in store);;;Oui;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Documentation numérique produite au sein de l’établissement;;;;;;;Material digitized within institution;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Unités documentaires;;;;;Document units;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;ColNNumerise;CollN1;;Documents numérisés (livres, revues, thèses, autres);Digitized documents (books, journals, theses, other);;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;31-12;0;5 000 000;N-Bl;;-20%;20%;SD;
;;;;ColNTheseNum;CollN3;;Thèses, HDR, mémoires et travaux universitaires (nativement numériques);Theses, HDR, dissertations, university research (natively digital);;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;31-12;0;50 000;N-Bl;;-20%;20%;SD;
;;;;ColNPedago;CollN5;;Documents pédagogiques signalés par la structure documentaire;Teaching material catalogued by library entity;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;31-12;0;1 000 000;N-Bl;;-20%;20%;SD;
;;;;ColNProdTot;nouveau;;Total Unités documentaires;Total document units;;;SO;;Calculée;ColNNumerise + ColNTheseNum + ColNPedago;Non;;;;;;;;;entier;Unités Doc;31-12;;;;;;;SD;
;;;;ColNAccLibre;CollN7;;Dont documentation numérique produite en accès libre  (en % du total) - Nb d'unités documentaires;Including digital material produced in OA (% of total) - No. doc. units ;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;31-12;0;100;Bl;;;;SD;
;;;Giga octets;;;;;in Gigabytes;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;ColNNumeriseGo;CollN2;;Documents numérisés (livres, revues, thèses, autres) - Giga octets;Digitized material (books, journals, theses, others) -  in Gigabytes;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;;;;ColNTheseNumGo;CollN4;;Thèses, HDR, mémoires et travaux universitaires (nativement numériques) - Giga octets;Theses, HDR, dissertations and university research (natively digital)- in Gigabytes;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;;;;ColNPedagoGo;CollN6;;Documents pédagogiques signalés par la structure documentaire - Giga octets;Teaching docs. indicated by LS- in Gigabytes;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;;;;ColNProdTotGo;nouveau;;Total Giga Octets;Total in Gigabytes;;;SO;;Calculée;ColNNumeriseGo + ColNTheseNumGo + ColNPedagoGo;Non;;;;;;;;;entier;;;;;;;;;SD;
;;;;ColNAccLibreGo;CollN8;;Dont documentation numérique produite en accès libre  (en % du total) - Giga octets;Including digital material produced in OA (% of total) - in Gigabytes;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;Documentation numérique acquise définitivement par l’établissement;;;;;;;Permanent digital acquisitions of Institution;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Nombre;;;;;Number;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;ColNAcqRess;CollN9;;Services/ressources - Nombre;Services/resources - Number;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;;;;;;;SD;
;;;;ColNAcqTitLiv;CollN11;;Titres de livres électroniques signalés - Nombre;Catalogued e-book titles  - Number;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;5 000 000;N-Bl;;-20%;20%;SD;
;;;;ColNAcqTitPer;CollN13;;Titres de périodiques électroniques signalés - Nombre;Catalogued e-journal tiles  - Number;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;1 000 000;N-Bl;;-20%;20%;SD;
;;;Giga octets;;;;;in Gigabytes;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;ColNAcqRessGo;CollN10;;Services/ressources - Giga octets;Services/resources- in Gigabytes;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;;;;ColNAcqTitLivGo;CollN12;;Titres de livres électroniques signalés - Giga octets;Catalogued e-book titles  - in Gigabytes;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;;;;ColNAcqTitPerGo;CollN14;;Titres de périodiques électroniques signalés - Giga octets;Catalogued e-journal titles  - in Gigabytes;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
