ID_BP;ID_SD;BibNom;BibType;BibRCR;BibDroit;BibEco;BibLSH;BibScStaps;BibSante;BibAut;BibPubVisé;BibDepDoc;BibETP;BibEntrees;BibSurfaceTot;BibSurfacePub;BibPlacesTot;BibPlacesGroup;BibSemHeures;BibSamJ;BibSamH;BibDimJ;BibDimH;BibAnneeH;BibAnneeJ;BibML;BibPrets;BibConsult;BibComIndirect;BibPretMatos;UAI_Old;NUMUn;UAI_2018;Ident_FMu;Nom interne
1;1;Bibliothèque;autre;;0;0;0;0;0;0;recherche;;;;;;;;;;;;;;;;;;;;0753705V;Un00;;1;ACAD. NAT. DE MEDECINE
2;4;Centre de documentation;autre;;1;0;0;1;0;1;mixte;;;;44;;5;;;;;;;;;;;;;;0922684T;UN00;;6;ANDRA-Agence nationale pour la gestion des déchets radioactifs
3;5;Bibliothèque Médecine-Odontologie;autre;;0;0;0;0;1;0;mixte;;20,3;509793;4695;2373;496;12;69;35;158;0;0;2876;250;7352;28958;;514;0;0134031L;UN00;0134031L;9;AIX-MARSEILLE (>=2012)
4;5;Bibliothèque Pharmacie;autre;;0;0;0;0;1;0;mixte;;5,5;147000;2706;1055;407;19;57,5;0;0;0;0;2444;217;1948;6145;;103;0;0134031L;UN01;0134031L;9;AIX-MARSEILLE (>=2012)
5;5;Bibliothèque Médecine Nord;autre;;0;0;0;0;1;0;mixte;;0,7;2879;617;435;80;0;18;0;0;0;0;625;87;79;1513;;0;0;0134031L;UN02;0134031L;9;AIX-MARSEILLE (>=2012)
6;5;IUT Hygiène, Sécurité, Environnement;associée;;0;0;0;1;0;0;mixte;7292,36;0,5;;129;100;32;22;29;;;;;902;191;230;;;0;0;0134031L;UN03;0134031L;9;AIX-MARSEILLE (>=2012)
7;5;IUT Métiers du Livre;associée;;0;0;1;0;0;0;étudiant;4193;0,6;;62;62;24;19;33;;;;;;;58;;;0;0;0134031L;UN04;0134031L;9;AIX-MARSEILLE (>=2012)
8;5;Bibliothèque Sciences & techniques LUMINY;autre;;0;0;0;1;0;0;mixte;;9,1;156140;2800;2500;600;124;55;1;7;0;0;2270;200;2304;21230;210;292;72;0134031L;UN05;0134031L;9;AIX-MARSEILLE (>=2012)
9;5;Bibliothèque économie-gestion Ferry;autre;;0;1;0;0;0;0;mixte;;6,6;68084;890;690;164;34;52,5;0;0;0;0;2241;217;886;7682;34;126;0;0134031L;UN06;0134031L;9;AIX-MARSEILLE (>=2012)
10;5;Ecole Centrale de Marseille;associée;;0;0;0;1;0;0;étudiant;13143;2;18798;215;;41;10;43;;;;;1400;164;1895;1019;;4;;0134031L;UN07;0134031L;9;AIX-MARSEILLE (>=2012)
11;5;Bibliothèque universitaire de Gap;autre;;0;1;0;1;1;1;mixte;;2,8;44373;600;480;124;14;47;0;0;0;0;2025;217;414;3605;70;393;0;0134031L;UN08;0134031L;9;AIX-MARSEILLE (>=2012)
12;5;Bibliothèque Droit & sciences politiques Schuman;autre;;1;1;0;0;0;0;mixte;;31,3;476172;6800;2800;750;42;62;30;210;0;0;2527;243;10505;61670;;9130;0;0134031L;UN09;0134031L;9;AIX-MARSEILLE (>=2012)
13;5;Bibliothèque IMPGT Saporta;autre;;1;1;1;0;0;0;mixte;;2;15800;90;76;26;0;45;0;0;0;0;1885;211;91;2758;;0;0;0134031L;UN10;0134031L;9;AIX-MARSEILLE (>=2012)
14;5;Bibliothèque Droit & économie La Canebière;autre;;1;1;0;0;0;0;étudiant;;4,5;106000;326;303;112;0;50;0;0;0;0;2090;209;483;11610;287;11;0;0134031L;UN11;0134031L;9;AIX-MARSEILLE (>=2012)
15;5;Bibliothèque Sciences & techniques MONTPERRIN;autre;;0;0;0;1;0;0;étudiant;;3,4;32543;286;260;75;0;45;0;0;0;0;1898;211;134;2447;929;30;12;0134031L;UN12;0134031L;9;AIX-MARSEILLE (>=2012)
